system:index,status,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_end,system:time_start,system:version,.geo
20230601170000,provisional,16429398,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601170000,1.685640599E12,1.6856388E12,1685741705982886,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601173000,provisional,16419101,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601173000,1.685642399E12,1.6856406E12,1685741840674007,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601180000,provisional,16604515,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601180000,1.685644199E12,1.6856424E12,1685742175371489,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601183000,provisional,15987282,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601183000,1.685645999E12,1.6856442E12,1685742305431930,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601190000,provisional,16463269,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601190000,1.685647799E12,1.685646E12,1685742049072297,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601193000,provisional,16288599,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601193000,1.685649599E12,1.6856478E12,1685741359987115,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601200000,provisional,16391677,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601200000,1.685651399E12,1.6856496E12,1685742291478019,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601203000,provisional,16434777,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601203000,1.685653199E12,1.6856514E12,1685742238842160,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601210000,provisional,16452662,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601210000,1.685654999E12,1.6856532E12,1685741817757213,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20230601213000,provisional,16188776,"[HQobservationTime, HQprecipSource, HQprecipitation, IRkalmanFilterWeight, IRprecipitation, precipitationCal, precipitationUncal, probabilityLiquidPrecipitation, randomError]",<Element>,"LinearRing(-180.0,-90.0, 180.0,-90.0, 180.0,90.0, -180.0,90.0, -180.0,-90.0)",NASA/GPM_L3/IMERG_V06/20230601213000,1.685656799E12,1.685655E12,1685741282503163,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
