system:index,occurrence,.geo
188,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44125076248454,22.6295950695475]}"
189,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41726574439852,22.629325574962266]}"
190,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44044227872885,22.629325574962266]}"
191,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44071177331406,22.629325574962266]}"
192,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44098126789928,22.629325574962266]}"
193,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41753523898379,22.629056080377033]}"
194,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44017278414358,22.629056080377033]}"
195,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44044227872885,22.629056080377033]}"
196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44071177331406,22.629056080377033]}"
197,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44017278414358,22.628786585791794]}"
198,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44071177331406,22.628786585791794]}"
199,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44017278414358,22.62851709120656]}"
200,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45553397550205,22.627169618280377]}"
201,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45580347008726,22.627169618280377]}"
202,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45607296467253,22.627169618280377]}"
203,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.40459949889245,22.626900123695144]}"
204,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45499498633157,22.626900123695144]}"
205,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45526448091678,22.626900123695144]}"
206,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45634245925774,22.626900123695144]}"
207,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45661195384295,22.626900123695144]}"
208,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41079787435288,22.626630629109904]}"
209,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41106736893809,22.626630629109904]}"
210,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45930689969535,22.626630629109904]}"
211,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45391700799061,22.6258221453542]}"
212,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45391700799061,22.625552650768967]}"
213,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45526448091678,22.625552650768967]}"
214,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.38681285626691,22.620432253649483]}"
215,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.38708235085213,22.620432253649483]}"
216,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37738054578361,22.620162759064243]}"
217,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43828632204693,22.619623769893778]}"
218,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43828632204693,22.619354275308538]}"
219,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45715094301343,22.618276296967593]}"
220,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45715094301343,22.61800680238236]}"
221,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4574204375987,22.61800680238236]}"
222,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45768993218391,22.61800680238236]}"
223,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37387711617558,22.616659329456184]}"
224,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37387711617558,22.616389834870944]}"
225,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37414661076079,22.616389834870944]}"
226,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.3733381270051,22.61612034028571]}"
227,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37360762159031,22.61612034028571]}"
228,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4574204375987,22.61612034028571]}"
229,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37387711617558,22.61558135111524]}"
230,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37414661076079,22.61558135111524]}"
231,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41295383103474,22.61558135111524]}"
232,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41349282020522,22.61558135111524]}"
233,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46011538345104,22.61558135111524]}"
234,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46038487803631,22.61558135111524]}"
235,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46065437262152,22.61558135111524]}"
236,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37387711617558,22.61531185653]}"
237,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41349282020522,22.61531185653]}"
238,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45984588886583,22.61531185653]}"
239,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46011538345104,22.61531185653]}"
240,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41295383103474,22.615042361944766]}"
241,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41349282020522,22.615042361944766]}"
242,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45310852423492,22.615042361944766]}"
243,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4584984159396,22.615042361944766]}"
244,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45876791052487,22.615042361944766]}"
245,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41241484186432,22.614772867359527]}"
246,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41268433644953,22.614772867359527]}"
247,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41295383103474,22.614772867359527]}"
248,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45310852423492,22.614772867359527]}"
249,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45337801882013,22.614772867359527]}"
250,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4574204375987,22.614772867359527]}"
251,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45768993218391,22.614772867359527]}"
252,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45795942676918,22.614772867359527]}"
253,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45822892135439,22.614772867359527]}"
254,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4584984159396,22.614772867359527]}"
255,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41268433644953,22.614503372774294]}"
256,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41295383103474,22.614503372774294]}"
257,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41376231479049,22.614503372774294]}"
258,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45715094301343,22.614503372774294]}"
259,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4574204375987,22.614503372774294]}"
260,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46011538345104,22.61342539443335]}"
261,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46227134013296,22.611808426921932]}"
262,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46254083471817,22.611808426921932]}"
263,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.36848722447084,22.6115389323367]}"
264,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.3838484158293,22.6115389323367]}"
265,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.38411791041452,22.6115389323367]}"
266,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46469679140003,22.6115389323367]}"
267,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.38357892124404,22.61126943775146]}"
268,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.3838484158293,22.61126943775146]}"
269,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.38411791041452,22.61126943775146]}"
270,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46281032930338,22.61126943775146]}"
271,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.3838484158293,22.610999943166227]}"
272,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.38411791041452,22.610999943166227]}"
